Date	Time	Press	Temp	Cond	Sal	O2%	O2ppm	pH	PAR	Trx-Chl-a	Pethr	Pchan
[D-M-Y]	[h:m:s]	[dbar]	[°C]	[mS/cm]	[PSU]	[%]	[mg/l]	[pH]	[-]	[ug/l]	[ug/l]	[ug/l]
16-07-2024 20:48:17.43    0.42   8.979   0.021    0.016  102.3  11.81  14.000 2328.29980 1000.00 1000.00   27.87
16-07-2024 20:48:17.60    0.32   8.999   0.021    0.016  102.3  11.80  14.000 2328.29980 1000.00 1000.00   27.87
16-07-2024 20:48:17.85    0.35   9.014   0.021    0.016  102.1  11.78  14.000 2328.29980    3.16 1000.00   95.34
16-07-2024 20:48:18.10    0.43   9.019   0.021    0.016  102.2  11.79  14.000 2328.29980 1000.00 1000.00   95.34
16-07-2024 20:48:18.34    0.06   9.032   0.021    0.016  102.3  11.80  14.000 2328.29980 1000.00 1000.00   26.79
16-07-2024 20:48:18.58    0.39   9.022   0.021    0.016  101.9  11.76  14.000 2328.29980    0.00 1000.00    0.00
16-07-2024 20:48:18.83    0.24   9.029   0.021    0.016  102.0  11.76  14.000 2328.29980    0.00 1000.00    0.00
16-07-2024 20:48:19.08    0.10   9.043   0.021    0.016  102.6  11.83  14.000 2328.29980 1000.00 1000.00   20.00
16-07-2024 20:48:19.32    0.18   9.052   0.022    0.016  102.5  11.81  14.000 2328.29980 1000.00 1000.00 1000.00
16-07-2024 20:48:19.56    0.33   9.055   0.021    0.016  102.7  11.83  14.000 2328.29980 1000.00 1000.00    0.00
16-07-2024 20:48:19.82    0.42   9.056   0.021    0.016  102.8  11.84  14.000 2328.29980 1000.00 1000.00 1000.00
16-07-2024 20:48:20.06    0.31   9.056   0.022    0.016  102.5  11.82  14.000 2328.29980 1000.00    0.00    0.00
16-07-2024 20:48:20.31    0.34   9.053   0.021    0.016  102.7  11.83  14.000 2328.29980    0.00 1000.00 1000.00
16-07-2024 20:48:20.56    0.06   9.050   0.022    0.016  102.7  11.84  14.000 2328.29980    0.00 1000.00 1000.00
