Date	Time	Press	Temp	Cond	Sal	O2%	O2ppm	pH	PAR	Trx-Chl-a	Pethr	Pchan
[D-M-Y]	[h:m:s]	[dbar]	[°C]	[mS/cm]	[PSU]	[%]	[mg/l]	[pH]	[-]	[ug/l]	[ug/l]	[ug/l]
14-07-2024 21:25:38.09    0.21  10.943   0.015    0.013   92.3  10.17  14.000 2328.29980   22.43   33.54 1000.00
14-07-2024 21:25:38.28    0.18  10.932   0.015    0.013   92.0  10.14  14.000 2328.29980   22.43   33.54 1000.00
14-07-2024 21:25:38.53    0.19  10.953   0.014    0.012   92.2  10.16  14.000 2328.29980 1000.00   12.35    6.36
14-07-2024 21:25:38.77    0.16  10.962   0.015    0.013   92.2  10.15  14.000 2328.29980    2.58   50.81   38.18
14-07-2024 21:25:39.02    0.19  10.944   0.015    0.013   92.2  10.16  14.000 2328.29980 1000.00    4.94    8.71
14-07-2024 21:25:39.27    0.20  10.931   0.015    0.013   92.2  10.16  14.000 2328.29980 1000.00   70.31   33.08
14-07-2024 21:25:39.51    0.19  10.944   0.015    0.013   92.1  10.16  14.000 2328.29980 1000.00   70.31   33.08
14-07-2024 21:25:39.76    0.20  10.952   0.015    0.013   92.1  10.15  14.000 2328.29980    0.00    1.89    6.67
14-07-2024 21:25:40.00    0.20  10.945   0.014    0.012   92.1  10.15  14.000 2328.29980 1000.00    1.89   11.09
14-07-2024 21:25:40.25    0.19  10.943   0.015    0.013   92.0  10.14  14.000 2328.29980 1000.00    1.89   11.09
14-07-2024 21:25:40.49    0.19  10.941   0.015    0.013   92.1  10.15  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:25:40.74    0.19  10.929   0.015    0.013   92.1  10.15  14.000 2328.29980 1000.00 1000.00   10.29
14-07-2024 21:25:40.98    0.20  10.921   0.014    0.012   92.1  10.16  14.000 2328.29980    2.71 1000.00    0.00
14-07-2024 21:25:41.23    0.20  10.949   0.015    0.013   92.0  10.14  14.000 2328.29980    2.71 1000.00    0.00
14-07-2024 21:25:41.47    0.18  10.974   0.014    0.012   91.9  10.13  14.000 2328.29980   21.97 1000.00    0.00
14-07-2024 21:25:41.72    0.16  10.978   0.015    0.013   92.0  10.13  14.000 2328.29980    0.00 1000.00 1000.00
14-07-2024 21:25:41.97    0.19  10.974   0.014    0.012   91.9  10.12  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:25:42.23    0.19  10.945   0.014    0.012   91.8  10.12  14.000 2328.29980 1000.00 1000.00  105.27
14-07-2024 21:25:42.47    0.21  10.940   0.014    0.013   92.0  10.14  14.000 2328.29980 1000.00 1000.00  105.27
14-07-2024 21:25:42.71    0.20  10.957   0.015    0.013   92.0  10.13  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:25:42.96    0.19  10.973   0.015    0.013   91.9  10.12  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:25:43.20    0.21  10.980   0.013    0.012   91.9  10.12  14.000 2328.29980 1000.00   14.27    6.19
14-07-2024 21:25:43.45    0.18  10.983   0.014    0.013   92.0  10.13  14.000 2328.29980    2.63    3.09    5.65
14-07-2024 21:25:43.69    0.20  10.988   0.016    0.013   91.9  10.12  14.000 2328.29980    2.69    3.19    5.38
14-07-2024 21:25:43.94    0.19  10.992   0.015    0.013   91.9  10.12  14.000 2328.29980    2.60    3.20    5.30
14-07-2024 21:25:44.18    0.21  10.997   0.014    0.012   91.9  10.12  14.000 2328.29980    2.71    3.28    5.51
14-07-2024 21:25:44.43    0.22  10.998   0.016    0.013   91.9  10.12  14.000 2328.29980    2.55    3.19    5.55
14-07-2024 21:25:44.67    0.21  11.004   0.014    0.012   91.8  10.11  14.000 2328.29980    2.55    3.19    5.55
14-07-2024 21:25:44.92    0.19  11.005   0.014    0.012   91.9  10.12  14.000 2328.29980    2.63    3.22    5.46
14-07-2024 21:25:45.17    0.22  11.005   0.012    0.011   91.9  10.12  14.000 2328.29980    2.78    3.18    5.49
14-07-2024 21:25:45.41    0.19  10.993   0.015    0.013   91.9  10.12  14.000 2328.29980    2.71    3.26    5.42
14-07-2024 21:25:45.66    0.21  10.982   0.015    0.013   92.0  10.13  14.000 2328.29980    2.59    3.30    3.50
14-07-2024 21:25:45.91    0.19  10.981   0.011    0.011   92.0  10.13  14.000 2328.29980    2.59    3.30   23.82
14-07-2024 21:25:46.16    0.19  10.981   0.012    0.011   92.0  10.13  14.000 2328.29980    2.59    3.30   33.39
14-07-2024 21:25:46.40    0.19  10.968   0.016    0.013   92.1  10.14  14.000 2328.29980    2.59    3.30   33.39
14-07-2024 21:25:46.65    0.20  10.967   0.011    0.011   92.1  10.15  14.000 2328.29980 1000.00   10.11    9.40
14-07-2024 21:25:46.89    0.18  10.982   0.017    0.014   91.9  10.12  14.000 2328.29980    0.00   10.11   12.73
14-07-2024 21:25:47.14    0.20  11.017   0.017    0.014   91.9  10.11  14.000 2328.29980    0.00 1000.00 1000.00
14-07-2024 21:25:47.38    0.18  11.030   0.017    0.014   91.9  10.11  14.000 2328.29980    0.00 1000.00   16.00
14-07-2024 21:25:47.63    0.20  11.048   0.014    0.012   91.9  10.10  14.000 2328.29980 1000.00 1000.00    9.69
14-07-2024 21:25:47.87    0.19  11.064   0.014    0.012   91.8  10.09  14.000 2328.29980   31.38    0.00   39.77
14-07-2024 21:25:48.12    0.20  11.090   0.011    0.011   91.7  10.08  14.000 2328.29980   31.38    0.00   39.77
14-07-2024 21:25:48.36    0.19  11.095   0.011    0.011   91.6  10.06  14.000 2328.29980    3.16    0.00   39.77
14-07-2024 21:25:48.61    0.20  11.101   0.014    0.012   91.7  10.07  14.000 2328.29980 1000.00    0.00 1000.00
14-07-2024 21:25:48.85    0.20  11.100   0.017    0.014   91.6  10.06  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:25:49.10    0.18  11.093   0.015    0.013   91.7  10.08  14.000 2328.29980    9.94    3.69    5.64
14-07-2024 21:25:49.35    0.19  11.089   0.016    0.013   91.7  10.08  14.000 2328.29980    2.70    3.13    5.39
14-07-2024 21:25:49.59    0.19  11.090   0.019    0.015   91.7  10.08  14.000 2328.29980    2.58    3.35    5.52
14-07-2024 21:25:49.84    0.19  11.092   0.016    0.013   91.8  10.08  14.000 2328.29980    2.58    3.35    5.52
14-07-2024 21:25:50.09    0.20  11.079   0.014    0.013   91.8  10.09  14.000 2328.29980    2.65    3.34    5.48
14-07-2024 21:25:50.33    0.20  11.075   0.018    0.014   91.7  10.08  14.000 2328.29980    2.65    3.21    5.41
14-07-2024 21:25:50.58    0.20  11.074   0.015    0.013   91.7  10.08  14.000 2328.29980    2.64    3.23    5.58
14-07-2024 21:25:50.82    0.18  11.068   0.016    0.014   91.8  10.09  14.000 2328.29980    2.63    3.38    5.58
14-07-2024 21:25:51.07    0.18  11.065   0.014    0.012   91.8  10.09  14.000 2328.29980    2.63    3.25    5.61
14-07-2024 21:25:51.31    0.18  11.058   0.019    0.015   91.8  10.09  14.000 2328.29980    2.71    3.28    5.45
14-07-2024 21:25:51.56    0.18  11.053   0.012    0.011   91.8  10.09  14.000 2328.29980    2.71    3.28    5.45
14-07-2024 21:25:51.80    0.20  11.058   0.016    0.013   91.8  10.09  14.000 2328.29980    2.72    3.18    5.49
14-07-2024 21:25:52.05    0.17  11.067   0.014    0.012   91.8  10.09  14.000 2328.29980    2.71    3.23    5.63
14-07-2024 21:25:52.29    0.19  11.074   0.019    0.015   91.7  10.08  14.000 2328.29980    2.61    3.25    5.53
14-07-2024 21:25:52.54    0.18  11.097   0.011    0.010   91.7  10.07  14.000 2328.29980    2.66    3.17    5.48
14-07-2024 21:25:52.78    0.19  11.132   0.015    0.013   91.6  10.05  14.000 2328.29980    2.62    3.40    5.47
14-07-2024 21:25:53.04    0.18  11.171   0.013    0.012   91.5  10.03  14.000 2328.29980    2.66    3.18    5.50
14-07-2024 21:25:53.28    0.19  11.196   0.013    0.012   91.4  10.01  14.000 2328.29980    2.66    3.18    5.50
14-07-2024 21:25:53.53    0.18  11.214   0.012    0.011   91.3  10.00  14.000 2328.29980    2.60    3.25    5.49
14-07-2024 21:25:53.78    0.18  11.233   0.015    0.013   91.3   9.99  14.000 2328.29980    2.67    3.31    5.39
14-07-2024 21:25:54.02    0.20  11.221   0.013    0.012   91.3  10.00  14.000 2328.29980    2.62    3.28    5.43
14-07-2024 21:25:54.27    0.19  11.227   0.014    0.012   91.6  10.02  14.000 2328.29980    2.66    3.16    5.56
14-07-2024 21:25:54.51    0.17  11.233   0.016    0.013   91.3   9.99  14.000 2328.29980    2.63    3.23    5.52
14-07-2024 21:25:54.76    0.17  11.214   0.016    0.013   91.3  10.00  14.000 2328.29980    2.61    3.13    5.49
14-07-2024 21:25:55.00    0.19  11.215   0.011    0.011   91.3  10.00  14.000 2328.29980    2.61    3.13    5.49
14-07-2024 21:25:55.25    0.17  11.216   0.011    0.011   91.3  10.00  14.000 2328.29980    2.55    3.10    5.57
14-07-2024 21:25:55.49    0.18  11.219   0.015    0.013   91.3  10.00  14.000 2328.29980    2.62    3.30    5.46
14-07-2024 21:25:55.74    0.20  11.220   0.015    0.013   91.3  10.00  14.000 2328.29980    2.59    3.23    4.22
14-07-2024 21:25:55.98    0.19  11.224   0.016    0.013   91.3   9.99  14.000 2328.29980    0.00    3.23    4.22
14-07-2024 21:25:56.23    0.18  11.238   0.011    0.011   91.3   9.99  14.000 2328.29980    0.00    5.15    4.22
14-07-2024 21:25:56.47    0.18  11.251   0.015    0.013   91.2   9.98  14.000 2328.29980    0.00    5.15 1000.00
14-07-2024 21:25:56.72    0.19  11.254   0.014    0.012   91.2   9.98  14.000 2328.29980    0.00    5.15 1000.00
14-07-2024 21:25:56.97    0.17  11.255   0.014    0.012   91.2   9.98  14.000 2328.29980 1000.00 1000.00   13.71
14-07-2024 21:25:57.22    0.21  11.250   0.014    0.013   91.2   9.98  14.000 2328.29980   46.39   66.12    5.56
14-07-2024 21:25:57.46    0.17  11.236   0.015    0.013   91.2   9.99  14.000 2328.29980   10.98    0.00   31.11
14-07-2024 21:25:57.71    0.19  11.237   0.014    0.013   91.2   9.99  14.000 2328.29980   10.98    0.00   31.11
14-07-2024 21:25:57.95    0.18  11.259   0.015    0.013   91.2   9.98  14.000 2328.29980    3.83   15.16   31.11
14-07-2024 21:25:58.20    0.20  11.291   0.015    0.013   91.1   9.96  14.000 2328.29980    3.14   15.16   31.11
14-07-2024 21:25:58.44    0.18  11.326   0.016    0.013   90.9   9.94  14.000 2328.29980    3.14   15.16   31.11
14-07-2024 21:25:58.69    0.18  11.358   0.012    0.011   90.9   9.92  14.000 2328.29980   42.49   15.16   31.11
14-07-2024 21:25:58.93    0.20  11.380   0.014    0.013   90.8   9.91  14.000 2328.29980   42.49   17.78   31.11
14-07-2024 21:25:59.18    0.20  11.388   0.013    0.012   90.8   9.90  14.000 2328.29980   25.74   10.73   30.90
14-07-2024 21:25:59.42    0.19  11.405   0.016    0.014   90.7   9.89  14.000 2328.29980   25.74  134.44   15.84
14-07-2024 21:25:59.67    0.21  11.428   0.015    0.013   90.7   9.88  14.000 2328.29980    0.00  134.44   48.55
14-07-2024 21:25:59.92    0.19  11.452   0.012    0.011   90.6   9.87  14.000 2328.29980    6.57   10.52    5.35
14-07-2024 21:26:00.16    0.17  11.475   0.015    0.013   90.6   9.86  14.000 2328.29980    6.57   10.52    5.35
14-07-2024 21:26:00.41    0.17  11.497   0.015    0.013   90.5   9.85  14.000 2328.29980   35.37   10.52    5.35
14-07-2024 21:26:00.66    0.17  11.524   0.015    0.013   90.4   9.83  14.000 2328.29980   27.24   10.52    5.35
14-07-2024 21:26:00.91    0.18  11.554   0.015    0.013   90.3   9.82  14.000 2328.29980   27.24   20.23    5.35
14-07-2024 21:26:01.15    0.19  11.577   0.015    0.013   90.3   9.81  14.000 2328.29980   21.07    7.31    5.35
14-07-2024 21:26:01.40    0.17  11.583   0.016    0.013   90.2   9.80  14.000 2328.29980   21.07    7.31    5.35
14-07-2024 21:26:01.64    0.18  11.592   0.015    0.013   90.2   9.79  14.000 2328.29980   21.07    7.31 1000.00
14-07-2024 21:26:01.89    0.17  11.606   0.015    0.013   90.2   9.79  14.000 2328.29980   21.07    7.31 1000.00
14-07-2024 21:26:02.13    0.19  11.599   0.015    0.013   90.2   9.79  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:26:02.38    0.18  11.604   0.015    0.013   90.2   9.79  14.000 2328.29980   25.52 1000.00   34.59
14-07-2024 21:26:02.62    0.19  11.602   0.016    0.013   90.2   9.79  14.000 2328.29980 1000.00 1000.00 1000.00
14-07-2024 21:26:02.87    0.20  11.594   0.015    0.013   90.2   9.79  14.000 2328.18433    0.00 1000.00    0.00
14-07-2024 21:26:03.11    0.17  11.592   0.015    0.013   90.2   9.79  14.000 2280.80640   11.91   22.97 1000.00
14-07-2024 21:26:03.36    0.19  11.587   0.014    0.012   90.2   9.80  14.000 2187.21582   11.91   22.97 1000.00
14-07-2024 21:26:03.60    0.21  11.584   0.015    0.013   90.2   9.80  14.000 2144.13525    6.99    5.50    5.69
14-07-2024 21:26:03.85    0.20  11.581   0.015    0.013   90.2   9.80  14.000 2058.20410    2.44    3.31    5.13
14-07-2024 21:26:04.11    0.19  11.545   0.015    0.013   90.3   9.82  14.000 2052.95215    2.44    0.00    5.53
14-07-2024 21:26:04.34    0.20  11.508   0.015    0.013   90.4   9.83  14.000 2014.02161   11.22   37.66   16.72
14-07-2024 21:26:04.59    0.18  11.485   0.014    0.013   90.4   9.84  14.000 2022.05603    0.00   37.66   16.72
14-07-2024 21:26:04.84    0.17  11.482   0.015    0.013   90.4   9.85  14.000 1761.03906 1000.00 1000.00   43.08
14-07-2024 21:26:05.08    0.20  11.480   0.014    0.013   90.4   9.85  14.000 1637.36987 1000.00   46.20    1.22
14-07-2024 21:26:05.33    0.19  11.477   0.015    0.013   90.4   9.85  14.000 1762.63342 1000.00   46.20    1.22
14-07-2024 21:26:05.57    0.17  11.480   0.014    0.013   90.5   9.85  14.000 1755.60925 1000.00   46.20    6.41
14-07-2024 21:26:05.82    0.21  11.481   0.014    0.013   90.5   9.85  14.000 1680.53198 1000.00    0.60 1000.00
14-07-2024 21:26:06.06    0.17  11.483   0.015    0.013   90.5   9.85  14.000 1764.23657    7.32    0.60    0.00
14-07-2024 21:26:06.31    0.20  11.474   0.015    0.013   90.5   9.85  14.000 1887.94482   12.08 1000.00    5.48
